i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,665578.9002,446896.8825,218682.0177,84 milliseconds,0
2,2,"(2, 5)",2,5,117557.131,44633.39803,72923.73299,122 milliseconds,0
2,3,"(1, 3)",1,3,199251.4834,112489.3839,86762.09943,68 milliseconds,0
2,4,"(1, 4)",1,4,172.9277535,1.783417777,171.1443357,75 milliseconds,0
2,5,"(2, 6)",2,6,4900.471319,5.63E-05,4900.471263,105 milliseconds,0
2,6,"(2, 1)",2,1,525602.7574,335257.9153,190344.8421,110 milliseconds,0
2,7,"(1, 5)",1,5,81313.1432,34617.57623,46695.56697,82 milliseconds,0
2,8,"(1, 6)",1,6,1594.174876,5.62E-05,1594.17482,86 milliseconds,0
2,9,"(2, 2)",2,2,780155.7774,490916.1338,289239.6436,105 milliseconds,1
2,10,"(2, 3)",2,3,263953.5247,133561.0426,130392.4821,107 milliseconds,0
2,11,"(2, 4)",2,4,5.95E-10,5.06E-05,-5.06E-05,88 milliseconds,0
2,12,"(1, 1)",1,1,418536.5831,284453.7526,134082.8305,95 milliseconds,0
3,1,"(1, 2)",1,2,504859.6003,496724.9492,8134.651071,119 milliseconds,1
3,2,"(2, 5)",2,5,91376.41651,88858.87858,2517.537934,131 milliseconds,0
3,3,"(1, 3)",1,3,115249.9628,111546.1033,3703.859459,99 milliseconds,0
3,4,"(1, 4)",1,4,125.1571283,0.052322127,125.1048062,100 milliseconds,0
3,5,"(2, 6)",2,6,1560.37829,675.693212,884.6850781,107 milliseconds,0
3,6,"(2, 1)",2,1,471402.7399,469504.3881,1898.351812,117 milliseconds,0
3,7,"(1, 5)",1,5,40795.49814,37651.06588,3144.432258,98 milliseconds,0
3,8,"(1, 6)",1,6,296.0694154,0.058354808,296.0110606,83 milliseconds,0
3,9,"(2, 2)",2,2,681440.6989,675107.6811,6333.01779,119 milliseconds,0
3,10,"(2, 3)",2,3,201260.728,195238.9291,6021.798958,126 milliseconds,0
3,11,"(2, 4)",2,4,5.31E-14,0.051084303,-0.051084303,95 milliseconds,0
3,12,"(1, 1)",1,1,317284.6951,314934.9173,2349.777752,89 milliseconds,0
4,1,"(1, 2)",1,2,349295.0516,342991.0164,6304.035207,89 milliseconds,0
4,2,"(2, 5)",2,5,65758.73389,64334.92699,1423.806903,120 milliseconds,0
4,3,"(1, 3)",1,3,32904.29529,27794.27324,5110.022059,103 milliseconds,0
4,4,"(1, 4)",1,4,101.8204955,90.16476051,11.65573495,103 milliseconds,0
4,5,"(2, 6)",2,6,125.2310854,0.000155049,125.2309304,131 milliseconds,0
4,6,"(2, 1)",2,1,415606.2423,414786.882,819.3603503,105 milliseconds,0
