i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,941773.2525764726,879378.9517958732,62394.300780599355,71 milliseconds,0.0
2,2,"(1, 1)",1,1,148964.92586264128,84941.41159865266,64023.51426398862,92 milliseconds,0.0
2,3,"(2, 2)",2,2,781450.9710976598,687025.3602244756,94425.61087318417,117 milliseconds,0.0
2,4,"(2, 1)",2,1,128818.88025309978,31521.66801347662,97297.21223962316,133 milliseconds,1.0
3,1,"(1, 2)",1,2,899461.6552490285,776143.1544335446,123318.50081548386,80 milliseconds,0.0
3,2,"(1, 1)",1,1,119694.97855179064,0.026831070622028615,119694.95172072003,102 milliseconds,0.0
3,3,"(2, 2)",2,2,748185.6718805163,562805.9442532887,185379.72762722766,98 milliseconds,1.0
3,4,"(2, 1)",2,1,100623.94797722292,81268.45941604402,19355.488561178907,110 milliseconds,0.0
4,1,"(1, 2)",1,2,851476.4549912093,671412.4389154741,180064.0160757352,93 milliseconds,1.0
4,2,"(1, 1)",1,1,93890.49035189302,0.13164453712661986,93890.3587073559,91 milliseconds,0.0
4,3,"(2, 2)",2,2,706233.9357948757,704691.4758862791,1542.4599085965892,103 milliseconds,0.0
4,4,"(2, 1)",2,1,75518.16014118158,17975.810485182614,57542.349655998965,104 milliseconds,0.0
5,1,"(1, 2)",1,2,790412.1928772621,787003.1265077593,3409.066369502805,88 milliseconds,0.0
5,2,"(1, 1)",1,1,63616.1634488749,3.975500520209169e-6,63616.163444899394,90 milliseconds,1.0
5,3,"(2, 2)",2,2,670553.4304295476,664395.806640571,6157.623788976576,110 milliseconds,0.0
5,4,"(2, 1)",2,1,56419.987146764215,4.09199635300597e-6,56419.98714267222,100 milliseconds,0.0
6,1,"(1, 2)",1,2,731786.5082662019,718446.6593815923,13339.848884609644,90 milliseconds,0.0
6,2,"(1, 1)",1,1,34371.64473473,27783.73581728095,6587.908917449047,95 milliseconds,0.0
6,3,"(2, 2)",2,2,640167.9061831725,625510.5126379472,14657.393545225263,105 milliseconds,0.0
6,4,"(2, 1)",2,1,36700.34685815552,2.955602154114551e-5,36700.3468285995,100 milliseconds,1.0
7,1,"(1, 2)",1,2,681306.8911209414,652937.177313346,28369.713807595428,93 milliseconds,1.0
7,2,"(1, 1)",1,1,19293.280111883872,2.0655901269728626e-5,19293.28009122797,93 milliseconds,0.0
7,3,"(2, 2)",2,2,604378.0098094386,577661.8711985775,26716.138610861148,113 milliseconds,0.0
7,4,"(2, 1)",2,1,19964.67542643843,14284.714575232212,5679.960851206217,109 milliseconds,0.0
8,1,"(1, 2)",1,2,627822.0513939721,625583.0334150026,2239.0179789694957,82 milliseconds,0.0
8,2,"(1, 1)",1,1,9496.844197882363,5.8488929782723456e-5,9496.844139393434,98 milliseconds,0.0
8,3,"(2, 2)",2,2,569617.0445174285,527118.708957024,42498.33556040446,112 milliseconds,1.0
8,4,"(2, 1)",2,1,11280.028816510821,6.0475242946048376e-5,11280.02875603558,107 milliseconds,0.0
9,1,"(1, 2)",1,2,571272.4714197272,563212.0108956443,8060.460524082882,79 milliseconds,1.0
