i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
2,1,"(1, 2)",1,2,665578.9002166353,446896.88252612005,218682.01769051526,83 milliseconds,0.0
2,2,"(2, 5)",2,5,117557.13101693678,44633.39802889667,72923.73298804011,105 milliseconds,0.0
2,3,"(1, 3)",1,3,199251.48335073813,112489.38392569576,86762.09942504237,75 milliseconds,0.0
2,4,"(1, 4)",1,4,172.92775345129752,1.7834177772939188,171.1443356740036,75 milliseconds,0.0
2,5,"(2, 6)",2,6,4900.471319148841,5.6261694402914214e-5,4900.471262887147,102 milliseconds,0.0
2,6,"(2, 1)",2,1,525602.7574436708,335257.91534206335,190344.8421016074,124 milliseconds,0.0
2,7,"(1, 5)",1,5,81313.14319877671,34617.576225454795,46695.56697332192,77 milliseconds,0.0
2,8,"(1, 6)",1,6,1594.174875845526,5.615951720944472e-5,1594.1748196860087,78 milliseconds,0.0
2,9,"(2, 2)",2,2,780155.7773923415,490916.1338050567,289239.64358728484,108 milliseconds,1.0
2,10,"(2, 3)",2,3,263953.52472034516,133561.04258838808,130392.48213195708,104 milliseconds,0.0
2,11,"(2, 4)",2,4,5.946731378611933e-10,5.06480209414888e-5,-5.064742626835094e-5,92 milliseconds,0.0
2,12,"(1, 1)",1,1,418536.58305992314,284453.75257816294,134082.8304817602,87 milliseconds,0.0
3,1,"(1, 2)",1,2,665578.9002166353,100747.98330410122,564830.916912534,95 milliseconds,1.0
3,2,"(2, 5)",2,5,117557.13101693678,0.03735779698199604,117557.09365913979,98 milliseconds,0.0
3,3,"(1, 3)",1,3,199251.48335073813,0.02653232557594217,199251.45681841255,99 milliseconds,0.0
3,4,"(1, 4)",1,4,172.92775345129752,0.03293329404738883,172.89482015725014,86 milliseconds,0.0
3,5,"(2, 6)",2,6,4900.471319148841,0.028189842077365253,4900.443129306764,104 milliseconds,0.0
3,6,"(2, 1)",2,1,525602.7574436708,126904.73479799411,398698.0226456766,105 milliseconds,0.0
3,7,"(1, 5)",1,5,81313.14319877671,0.03057475509904543,81313.11262402161,96 milliseconds,0.0
3,8,"(1, 6)",1,6,1594.174875845526,0.027261878958610295,1594.1476139665674,91 milliseconds,0.0
3,9,"(2, 2)",2,2,725103.4444719506,720718.0624608065,4385.382011144189,106 milliseconds,0.0
3,10,"(2, 3)",2,3,263953.52472034516,0.025513436889022585,263953.4992069083,115 milliseconds,0.0
3,11,"(2, 4)",2,4,5.946731378611933e-10,0.025870825647816342,-0.025870825053143205,84 milliseconds,0.0
3,12,"(1, 1)",1,1,418536.58305992314,70564.0048487266,347972.5782111965,93 milliseconds,0.0
4,1,"(1, 2)",1,2,413201.1118842393,402348.8083747334,10852.303509505931,97 milliseconds,0.0
4,2,"(2, 5)",2,5,117557.13101693678,0.004159656124147044,117557.12685728066,103 milliseconds,0.0
4,3,"(1, 3)",1,3,199251.48335073813,0.00431202380460624,199251.47903871431,88 milliseconds,0.0
4,4,"(1, 4)",1,4,172.92775345129752,0.004126298155158811,172.92362715314235,79 milliseconds,0.0
4,5,"(2, 6)",2,6,4900.471319148841,0.004912213489980508,4900.466406935351,106 milliseconds,0.0
4,6,"(2, 1)",2,1,525602.7574436708,0.006173058237858334,525602.7512706126,169 milliseconds,1.0
4,7,"(1, 5)",1,5,81313.14319877671,0.004371814119626748,81313.13882696259,91 milliseconds,0.0
4,8,"(1, 6)",1,6,1594.174875845526,0.005015329582074319,1594.169860515944,90 milliseconds,0.0
4,9,"(2, 2)",2,2,725103.4444719506,603572.2247920071,121531.21967994352,110 milliseconds,0.0
4,10,"(2, 3)",2,3,263953.52472034516,0.004263232762738224,263953.5204571124,110 milliseconds,0.0
4,11,"(2, 4)",2,4,5.946731378611933e-10,0.0048902068364921605,-0.0048902062418190225,102 milliseconds,0.0
4,12,"(1, 1)",1,1,418536.58305992314,0.004125356771977597,418536.57893456635,88 milliseconds,0.0
5,1,"(1, 2)",1,2,413201.1118842393,237938.88576770193,175262.22611653738,98 milliseconds,0.0
5,2,"(2, 5)",2,5,117557.13101693678,5.51000534582005e-5,117557.13096183672,105 milliseconds,0.0
5,3,"(1, 3)",1,3,199251.48335073813,5.559643027853263e-5,199251.4832951417,90 milliseconds,0.0
5,4,"(1, 4)",1,4,172.92775345129752,7.330949406240363e-5,172.92768014180345,89 milliseconds,0.0
5,5,"(2, 6)",2,6,4900.471319148841,6.613479356766136e-5,4900.471253014047,109 milliseconds,0.0
5,6,"(2, 1)",2,1,369419.4095304794,368357.5739133499,1061.8356171295163,117 milliseconds,0.0
5,7,"(1, 5)",1,5,81313.14319877671,5.801387865535113e-5,81313.14314076284,93 milliseconds,0.0
5,8,"(1, 6)",1,6,1594.174875845526,6.84742505195014e-5,1594.1748073712754,95 milliseconds,0.0
5,9,"(2, 2)",2,2,725103.4444719506,477355.00395136053,247748.4405205901,110 milliseconds,0.0
5,10,"(2, 3)",2,3,263953.52472034516,5.464545638479206e-5,263953.5246656997,106 milliseconds,0.0
5,11,"(2, 4)",2,4,5.946731378611933e-10,7.987221276290033e-5,-7.987161808976246e-5,99 milliseconds,0.0
5,12,"(1, 1)",1,1,418536.58305992314,5.5985198880188414e-5,418536.58300393797,97 milliseconds,1.0
6,1,"(1, 2)",1,2,413201.1118842393,55576.7589459027,357624.3529383366,89 milliseconds,1.0
6,2,"(2, 5)",2,5,117557.13101693678,0.09292920603796248,117557.03808773075,108 milliseconds,0.0
