timestep,region,system,id,variable,value,i
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,0,2
2040,DE,solar < rooftopInd,,capaConv,0.016703179,2
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,0,2
2040,DE,engine < enginePeak < gasEngine,,capaConv,0.351974796,2
2040,DE,solar < rooftopResi,,capaConv,0.016516996,2
2040,DE,wind < onshore,,capaConv,86.46258665,2
2040,DE,ocgt < ocgtH2,,capaConv,0.302300945,2
2040,DE,solar < openspace,,capaConv,0.016768929,2
2040,DE,battery < redoxBattery,1,capaStOut,0.532913503,2
2040,DE,battery < redoxBattery,1,capaStSize,0.053294524,2
2040,DE,battery < redoxBattery,1,capaStIn,0.532912947,2
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,2
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.000135307,2
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,0.135307754,2
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.000135307,2
2040,DE,ocgt < ocgtGas,,capaConv,0.302300945,2
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,0,2
2040,DE,wind < offshore,,capaConv,21.2197937,2
2040,DE,battery < lithiumBattery,1,capaStOut,0.700243146,2
2040,DE,battery < lithiumBattery,1,capaStSize,0.070026702,2
2040,DE,battery < lithiumBattery,1,capaStIn,0.700242415,2
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,0,2
2040,DE,solar < rooftopInd,,capaConv,0.016703179,2
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,0,2
2040,DE,engine < enginePeak < gasEngine,,capaConv,0.351974796,2
2040,DE,solar < rooftopResi,,capaConv,0.016516996,2
2040,DE,wind < onshore,,capaConv,86.46258665,2
2040,DE,ocgt < ocgtH2,,capaConv,0.302300945,2
2040,DE,solar < openspace,,capaConv,0.016768929,2
2040,DE,battery < redoxBattery,1,capaStOut,0.532913503,2
2040,DE,battery < redoxBattery,1,capaStSize,0.053294524,2
